pppp srss 217 196 748
rrps sspp 217 173 126
spss psrp 217 143 116
rssp rpss 216 207 236
prps spsr 216 177 683
rrrs sppp 214 319 280
spss sspp 214 293 161
ssrp rrrp 214 122 119
sprp rsps 213 903 253
prps pprr 213 227 368
srps prsr 212 112 96
rspr pssp 210 596 411
rpps prrs 209 150 163
sspp prrs 209 111 111
srrr rppp 209 59 48
rprs sppr 208 306 390
srpp ppsr 208 292 204
prpp sprr 208 283 387
rpps sspp 208 100 91
rpps psrr 206 207 152
spsr pspp 205 193 250
prsp rpss 205 178 107
rspp pprr 205 168 188
srrp sssp 205 165 114
rsps ppsr 204 144 94
sprs rrsr 204 142 333
rsrr psss 204 129 127
sppp rrss 204 73 330
rpps psrs 203 231 157
ssps rsss 202 143 90
sssp rsrr 202 135 251
rrrs rppp 200 333 350
psrs ppps 200 167 361
ssps prsp 200 156 96
prsr pprs 200 146 256
sprp rpps 199 591 181
sprr rpps 199 104 146
srpp rssp 198 161 159
srps pssr 198 107 114
rrrr srrp 198 87 90
rsrs sssr 198 73 133
rrrr pssp 198 57 106
rprr sppr 197 225 140
sspr prsp 197 209 149
rprp sspr 196 316 197
ppps spss 196 198 108
pppr ppss 196 192 126
spsr psrp 196 153 348
rrrr prrp 196 82 50
spsr sspp 195 379 433
rrrr rprp 195 38 33
rsrs prss 194 100 244
rppp rrrs 193 133 144
sprs rpps 192 165 390
ppsr spsp 192 151 293
prrr spsp 192 59 105
spsr ssrp 191 166 358
rpsp sppp 191 134 78
rsrs rrss 191 111 206
rppp prrs 190 251 209
prpr sprr 189 382 306
rppp psrs 189 200 381
rppr sspp 189 186 96
prsp ssrs 189 160 117
ppss spsp 189 156 114
sppr psrp 189 128 84
pspp rrsp 188 157 233
pssr ssrr 187 83 174
rsps sssp 187 78 85
rsps sspr 187 68 80
spsp sspp 186 177 115
rpss sspp 186 160 141
rspp pssp 186 155 190
srps rrsr 186 79 83
psrp ssrs 185 243 98
ppsr sssr 185 164 216
pssr srpr 185 129 203
rsrs pprr 185 70 130
ssss srrr 184 1438 497
psrp psps 184 374 196
pprs pssp 184 150 203
prps srrr 184 103 304
psrp srss 183 281 85
ssps rrrs 183 240 291
rpsr psrs 183 156 375
rrpp ppps 182 248 389
srsp sssp 182 204 71
rpsr prrs 182 184 459
srsp psss 181 135 76
rprs rppr 179 280 424
pspr srsp 179 185 643
prrr pprr 179 168 85
sspp rrrp 179 136 139
rsps rpsp 179 110 68
ppsp spsp 177 166 75
sspp pprs 177 161 98
sspp prsp 177 116 168
ppps rsss 176 184 116
pprr pssp 175 244 197
prrr psrr 175 122 86
sssr srrr 175 120 178
rsps ppsp 175 111 81
rsrs sspr 175 89 172
rrrr ssps 175 49 81
prss pprs 174 313 361
rssp pssr 174 205 138
psrr prps 174 111 227
rrrr rpsp 173 26 31
sppr rrss 172 200 134
psps pppr 172 88 206
