player computer r s p
ppprs psssp 1 1 0
ppprs psssr 10 21 23
ppprs rprss 0 1 0
ppprs rrpps 0 1 0
ppprs rrrrr 1 0 0
ppprs rrspp 0 0 1
ppprs rrsrs 0 1 0
ppprs rrssp 2 0 1
ppprs rrssr 3 3 3
ppprs rrsss 0 1 0
ppprs rspsr 0 1 0
ppprs rsssp 5 6 7
ppprs rsssr 4 13 4
ppprs spssp 0 1 0
ppprs spsss 1 0 0
ppprs sspsr 0 1 1
ppprs ssspp 1 2 1
ppprs sssrp 0 1 0
ppprs ssssp 14 14 11
ppprs ssssr 4 15 11
ppps pprp 1 0 0
ppps ppsp 0 1 1
ppps ppss 2 3 4
ppps prss 1 1 3
ppps psrp 0 0 1
ppps psrs 2 1 2
ppps pssr 1 1 1
ppps psss 34 20 39
ppps rpps 0 1 0
ppps rpsr 0 1 0
ppps rpss 0 2 0
ppps rrpp 0 1 2
ppps rrpr 0 1 0
ppps rrsr 1 0 0
ppps rrss 11 15 13
ppps rsrs 2 2 0
ppps rssr 0 0 1
ppps rsss 26 23 15
ppps spps 0 0 1
ppps sprp 1 0 0
ppps spss 1 3 1
ppps srss 0 0 1
ppps ssps 1 3 1
ppps ssrr 1 0 0
ppps ssrs 0 3 0
ppps sssp 6 2 1
ppps sssr 2 0 1
ppps ssss 60 59 41
pppsp ppsps 0 1 0
pppsp ppssr 1 1 0
pppsp ppsss 0 1 0
pppsp prssp 0 2 0
pppsp prssr 1 0 0
pppsp psrpp 0 1 0
pppsp psrsp 1 0 0
pppsp psrss 0 0 1
pppsp pssrr 1 0 0
pppsp psssp 0 1 0
pppsp psssr 4 0 0
pppsp pssss 23 8 2
pppsp rrppr 1 0 0
pppsp rrpps 1 0 0
pppsp rrssp 2 0 1
pppsp rrssr 2 1 0
pppsp rrsss 1 4 1
pppsp rssrr 0 0 1
pppsp rsssp 7 6 2
pppsp sppsr 0 0 1
pppsp spssr 0 1 0
pppsp srsss 1 0 0
pppsp sspsr 1 0 0
pppsp ssspp 0 0 1
pppsp sssrp 0 1 0
pppsp ssssr 19 9 11
pppsp sssss 2 0 0
pppsr pprpr 0 1 0
pppsr ppsss 0 1 1
pppsr prsss 0 0 1
pppsr psrsp 0 0 1
pppsr psrss 1 0 0
pppsr pssrs 1 0 0
pppsr psssp 1 0 0
pppsr psssr 1 0 2
pppsr pssss 11 7 11
pppsr rrsrp 0 1 0
pppsr rrssr 0 0 1
pppsr rrsss 2 3 5
pppsr rsrsr 1 1 0
pppsr rsssp 10 6 7
pppsr rsssr 1 0 1
pppsr rssss 0 1 0
pppsr sprpr 1 0 0
pppsr spssr 0 1 0
pppsr sspsr 0 1 0
pppsr ssrrs 0 0 1
pppsr ssspp 2 1 0
pppsr sssps 0 0 1
pppsr sssrp 0 0 1
pppsr sssrr 0 1 0
pppsr ssssr 19 17 23
pppss ppsps 0 1 0
pppss ppssr 1 0 1
pppss ppsss 0 0 1
pppss prsss 1 0 0
pppss psrsp 0 0 1
pppss pssrp 0 1 0
pppss psssp 1 0 0
pppss psssr 0 2 0
pppss pssss 7 7 3
pppss rppsp 0 0 1
pppss rpsrs 0 1 0
pppss rpssp 1 0 0
pppss rpssr 0 0 1
pppss rrpps 0 0 1
pppss rrprr 0 1 0
pppss rrssr 0 1 0
pppss rrsss 4 5 4
pppss rsrsp 1 0 1
pppss rsssp 15 2 3
pppss rsssr 0 1 1
pppss spssr 1 1 0
pppss spsss 1 0 0
pppss sspsp 0 0 1
pppss sspsr 1 1 0
pppss ssrsr 1 0 2
